23.09 18:00:05 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 18:00:08 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 18:00:12 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 18:00:17 | хабар: 5/6 манзилга етди
23.09 22:26:59 | цикл тугади
23.09 22:27:12 | бот таърифи ва буйруқлар рўйхати янгиланди
23.09 22:27:13 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
24.09 03:57:28 | цикл тугади
24.09 03:57:40 | бот таърифи ва буйруқлар рўйхати янгиланди
24.09 03:57:40 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
24.09 08:00:23 | erta хабари: 2026-09-24 (9 дарс)
24.09 08:00:23 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:00:23 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:00:26 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:00:30 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:00:35 | хабар: 5/6 манзилга етди
24.09 08:49:36 | эслатма: 9:00 (10 дақиқа қолди, 3 дарс)
24.09 08:49:37 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:37 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:40 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:44 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:49 | хабар: 5/6 манзилга етди
24.09 08:49:50 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:50 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:54 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:49:57 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:50:02 | хабар: 5/6 манзилга етди
24.09 08:50:03 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:50:04 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:50:07 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:50:10 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 08:50:15 | хабар: 5/6 манзилга етди
24.09 09:28:07 | цикл тугади
24.09 09:28:19 | бот таърифи ва буйруқлар рўйхати янгиланди
24.09 09:28:20 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
24.09 10:19:34 | эслатма: 10:30 (10 дақиқа қолди, 3 дарс)
24.09 10:19:34 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:35 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:38 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:41 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:47 | хабар: 5/6 манзилга етди
24.09 10:19:48 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:49 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:53 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:19:56 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:20:02 | хабар: 5/6 манзилга етди
24.09 10:20:03 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:20:03 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:20:07 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
24.09 10:20:10 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
